"Rank","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Drew Brees","NO","at TB","1","4","1.5","0.7"
"2","","Patrick Mahomes","KC","vs. BAL","1","5","1.8","0.8"
"3","","Ben Roethlisberger","PIT","at OAK","2","6","3.0","0.6"
"4","","Philip Rivers","LAC","vs. CIN","3","9","5.1","1.7"
"5","","Jameis Winston","TB","vs. NO","2","14","5.7","1.3"
"6","","Cam Newton","CAR","at CLE","3","10","5.7","1.3"
"7","","Aaron Rodgers","GB","vs. ATL","3","9","6.1","1.2"
"8","","Deshaun Watson","HOU","vs. IND","3","10","7.6","0.8"
"9","","Andrew Luck","IND","at HOU","5","16","9.8","2.1"
"10","","Jared Goff","LAR","at CHI","9","17","10.5","1.1"
"11","","Matt Ryan","ATL","at GB","10","18","12.0","1.6"
"12","","Lamar Jackson","BAL","at KC","6","17","12.2","2.0"
"13","","Mitch Trubisky","CHI","vs. LAR","8","18","13.5","2.4"
"14","","Tom Brady","NE","at MIA","8","16","13.5","1.5"
"15","","Russell Wilson","SEA","vs. MIN","8","19","13.9","1.6"
"16","","Dak Prescott","DAL","vs. PHI","10","20","15.4","1.3"
"17","","Baker Mayfield","CLE","vs. CAR","11","21","17.0","1.8"
"18","","Kirk Cousins","MIN","at SEA","13","20","17.9","1.0"
"19","","Josh Allen","BUF","vs. NYJ","9","23","19.0","2.2"
"20","","Carson Wentz","PHI","at DAL","17","23","19.0","0.9"
"21","","Marcus Mariota","TEN","vs. JAC","17","23","21.2","0.8"
"22","","Ryan Tannehill","MIA","vs. NE","20","28","22.1","0.8"
"23","","Matthew Stafford","DET","at ARI","21","27","23.4","1.2"
"24","","Case Keenum","DEN","at SF","20","27","24.3","1.3"
"25","","Eli Manning","NYG","at WAS","23","28","24.8","0.9"
"26","","Derek Carr","OAK","vs. PIT","21","29","25.1","1.2"
"27","","Nick Mullens","SF","vs. DEN","24","31","26.9","0.9"
"28","","Josh Rosen","ARI","vs. DET","27","32","28.5","0.7"
"29","","Jeff Driskel","CIN","at LAC","23","31","28.7","1.0"
"30","","Mark Sanchez","WAS","vs. NYG","29","32","30.2","0.9"
"31","","Cody Kessler","JAC","at TEN","26","32","30.3","0.8"
"32","","Sam Darnold","NYJ","at BUF","31","33","31.8","0.4"
"33","","Taysom Hill","NO","at TB","32","37","33.3","0.7"
"34","","Josh McCown","NYJ","at BUF","34","36","34.3","0.4"
"35","","Joe Flacco","BAL","at KC","33","35","34.3","0.9"
"36","","C.J. Beathard","SF","vs. DEN","33","58","33.8","1.0"
"37","","Ryan Fitzpatrick","TB","vs. NO","34","37","35.0","0.6"
"38","","Chase Daniel","CHI","vs. LAR","35","36","35.7","0.5"
"39","","Blake Bortles","JAC","at TEN","36","38","37.0","0.8"
"40","","Kyle Lauletta","NYG","at WAS","37","60","48.5","11.5"
""
""