"Rank","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev"
"1","","Jacksonville (JAC)","vs. WAS","1","4","1.5","0.9"
"2","","Houston (HOU)","at NYJ","1","5","2.3","0.9"
"3","","Baltimore (BAL)","vs. TB","1","8","3.6","1.1"
"4","","Minnesota (MIN)","vs. MIA","1","8","4.7","1.6"
"5","","Buffalo (BUF)","vs. DET","1","9","5.0","1.4"
"6","","Seattle (SEA)","at SF","3","10","6.2","1.4"
"7","","Chicago (CHI)","vs. GB","1","11","6.8","1.9"
"8","","Los Angeles (LAR)","vs. PHI","3","26","8.5","2.0"
"9","","Denver (DEN)","vs. CLE","7","13","9.8","1.0"
"10","","Tennessee (TEN)","at NYG","6","16","10.2","1.8"
"11","","Atlanta (ATL)","vs. ARI","3","24","10.5","3.9"
"12","","Washington (WAS)","at JAC","10","16","12.5","1.5"
"13","","New Orleans (NO)","at CAR","9","14","12.8","0.9"
"14","","Detroit (DET)","at BUF","7","20","12.9","2.9"
"15","","New York (NYG)","vs. TEN","10","27","15.9","2.1"
"16","","Dallas (DAL)","at IND","11","20","15.6","1.4"
"17","","Green Bay (GB)","at CHI","14","23","17.1","1.6"
"18","","Kansas City (KC)","vs. LAC","13","24","18.2","2.1"
"19","","New England (NE)","at PIT","15","22","18.6","1.3"
"20","","Arizona (ARI)","at ATL","14","25","21.2","1.9"
"21","","Indianapolis (IND)","vs. DAL","13","25","20.7","2.9"
"22","","Cincinnati (CIN)","vs. OAK","15","27","21.6","2.1"
"23","","New York (NYJ)","vs. HOU","17","24","21.6","1.8"
"24","","Cleveland (CLE)","at DEN","10","27","22.1","3.4"
"25","","Pittsburgh (PIT)","vs. NE","19","30","25.0","1.5"
"26","","Oakland (OAK)","at CIN","18","30","25.6","2.4"
"27","","Miami (MIA)","at MIN","17","29","26.0","1.5"
"28","","Los Angeles (LAC)","at KC","20","29","26.1","2.4"
"29","","Tampa Bay (TB)","at BAL","28","32","29.1","1.0"
"30","","Carolina (CAR)","vs. NO","29","32","30.4","0.8"
"31","","San Francisco (SF)","vs. SEA","28","32","30.5","0.8"
"32","","Philadelphia (PHI)","at LAR","28","32","31.5","0.7"
""
""